title,year,cat,format,credit,creditlink,vidUrl,imgName
ABC - iView,202312,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054030569?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,abc_1080x1080
Allianz - Go Australiaah!,202406,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054009364?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,allianz_1080x1080
AMAN Hotels - Tokyo,202006,Sound Design,Branded,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054009400?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,amantokyo_1080x1080
Amazon Prime - ICC,202502,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054009608?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,amazonprime_1080x1080
Annuli - Double Blind No. 2,201911,Sound Design,Branded,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054009872?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,doubleblind_1080x1080
ART Super - Awaken Your Super,202403,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054030626?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,artsuper_1080x1080
Capilano - Warm Porridge,202112,"Sound Design, Mix",Branded,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054009716?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,capilano_1080x1080
Cutting Edge - Slashes,202107,"Sound Design, Mix",Branded,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054009770?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,ceslash_1080x1080
Darby & Joan,202412,Dialogue Edit,Series,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054030646?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=5847,dandj_1080x1080
Ford x Triple Eight,202501,"Sound Design, Mix",Branded,Hype Republic,https://hyperepublic.com/,https://player.vimeo.com/video/1054010073?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,fordt8_1080x1080
Good Cop Bad Cop,202502,Dialogue Edit,Series,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054085636?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,gcbc_1080x1080
HBO - Max is Here,202410,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054030679?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,hbomax_1080x1080
Heineken - Beeeer,202403,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054010255?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,heineken_1080x1080
Infiniti - QX60,202201,"Sound Design, Mix",Branded,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054010275?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,infiniti_1080x1080
Johor Motorsports Racing,202312,"Sound Design, Mix",Branded,Hype Republic,https://hyperepublic.com/,https://player.vimeo.com/video/1054010405?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,jmr_1080x1080
Ladbrokes - Flex,202006,"Sound Design, Mix",Branded,-,,https://player.vimeo.com/video/1054010800?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,ladbrokesflex_1080x1080
Monarchy - The Farewell Oz Tour,202408,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054010928?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,monarchy_1080x1080
Mother & Son,202308,Dialogue Edit,Series,The Post Lounge,https://www.thepostlounge.com/,https://player.vimeo.com/video/1054010888?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,mas_1080x1080
Myer - Humbug,202412,Mix,Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054010959?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,myerhumbug_1080x1080
Petbarn - Puppies & Kittens,202408,Mix,Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054030720?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,petbarn_1080x1080
Racing Victoria - This Is How We Spring,202408,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054011093?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,racingvic_1080x1080
Seen,202502,"Sound Design, Dialogue Edit, Mix",Feature,You Can't Be Serious,https://youcantbeserious.com.au/,https://player.vimeo.com/video/1054011115?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,seen_1080x1080
SLS - Beach Passport,202409,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054011150?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,slsa_1024x1024
Superloop - Planking,202409,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054011977?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,superloop_1080x1080
The Demon Disorder,202404,"Sound Design, Dialogue Edit, Mix",Feature,Formation Pictures,https://www.formationpictures.com/,https://player.vimeo.com/video/1054030746?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,tdd_1080x1080
The Moth Effect,202108,"Sound Design, Dialogue Edit",Series,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054030777?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,mofx_1080x1080
Tyro - Into Business Big Tim,202403,"Sound Design, Mix",Branded,Mosaic Music + Sound,https://www.mosaicmns.com/,https://player.vimeo.com/video/1054012117?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,tyro_1080x1080
Translink - The Connecting Thread,202111,"Sound Design, Mix",Immersive,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054325167?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,theconnectingthread_1080x1080
Seaworld - Leviathan Load Station,202212,"Sound Design, Mix",Immersive,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054323143?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,leviathan_1080x1080
Wildest Places,201902,"Sound Design, Dialogue Edit, Mix",Series,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054326849?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,wildestplaces_1080x1080
Inside Manus,201708,Sound Design,Immersive,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054331202?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,insidemanus_1080x1080
My Name Is Mudju,201911,"Sound Design, Dialogue Edit, Mix",Short Film,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054329519?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,mnim_1080x1080
Wik v Queensland,201806,"Sound Design, Dialogue Edit, Mix",Features & TV,Cutting Edge,https://www.cuttingedge.com.au/,https://player.vimeo.com/video/1054329980?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,wikvsqld_1080x1080
